TF name		Call	methyl-SELEX call	bisulfite call
SNAI1		MethylPlus	MethylPlus	weak MethylPlus
SNAI2		MethylPlus	MethylPlus	weak MethylPlus
SP1		MethylPlus	Little effect	weak MethylPlus
SP2		MethylPlus	Little effect	MethylPlus
TBX20		MethylPlus	MethylPlus	MethylPlus
TFCP2		MethylPlus	Little effect	weak MethylPlus
				MethylPlus
TFCP2L1		MethylPlus	Little effect	weak MethylPlus
				MethylPlus
TGIF2LY		MethylPlus	MethylPlus	MethylPlus
				weak MethylPlus
THRB		MethylPlus	MethylPlus	not available
UBP1		MethylPlus	Little effect	weak MethylPlus
				weak MethylPlus
UNCX		MethylPlus	MethylPlus	low complexity motif
VSX1		MethylPlus	MethylPlus	low complexity motif
VSX1		MethylPlus	MethylPlus	low complexity motif
VSX2		MethylPlus	MethylPlus	low complexity motif
VSX2		MethylPlus	MethylPlus	low complexity motif
ZBTB20		MethylPlus	Little effect	weak MethylPlus
ZNF12		MethylPlus	MethylPlus	MethylPlus
				MethylPlus
ZNF174		MethylPlus	Little effect	MethylPlus
				weak MethylPlus
ZNF23		MethylPlus	Little effect	weak MethylPlus
				weak MethylPlus
				weak MethylPlus
ZNF274		MethylPlus	Little effect	weak MethylPlus
ZNF32		MethylPlus	Little effect	MethylPlus
				MethylPlus
ZSCAN31		MethylPlus	MethylPlus	MethylPlus
				MethylPlus
				MethylPlus
ZNF444		MethylPlus	Little effect	weak MethylPlus
ZNF524		MethylPlus	Little effect	MethylPlus
				MethylPlus
ZNF713		MethylPlus	Little effect	MethylPlus
				MethylPlus
				MethylPlus
ZNF740		MethylPlus	Little effect	weak MethylPlus
ZNF771		MethylPlus	Little effect	weak MethylPlus
ZNF771		MethylPlus	Little effect	weak MethylPlus
ZNF784		MethylPlus	Little effect	MethylPlus
ZNF821		MethylPlus	MethylPlus	MethylPlus
				MethylPlus
ARNT2		MethylMinus	MethylMinus	MethylMinus
ARNTL		MethylMinus	MethylMinus	MethylMinus
ATF2		MethylMinus	MethylMinus	low enrichment
ATF2		MethylMinus	MethylMinus	low enrichment
ATF3		MethylMinus	MethylMinus	weak MethylMinus
ATF3		MethylMinus	MethylMinus	weak MethylMinus
ATF6		MethylMinus	Little effect	MethylMinus
ATF6		MethylMinus	Little effect	MethylMinus
ATF6B		MethylMinus	Little effect	MethylMinus
ATF6B		MethylMinus	Little effect	MethylMinus
ATF7		MethylMinus	MethylMinus	low enrichment
BARHL2		MethylMinus	MethylMinus	low complexity motif
BARHL2		MethylMinus	MethylMinus	low complexity motif
BCL6		MethylMinus	MethylMinus	weak MethylMinus
BCL6B		MethylMinus	MethylMinus	weak MethylMinus
BHLHE40		MethylMinus	Little effect	MethylMinus
BHLHE41		MethylMinus	Little effect	MethylMinus
BSX		MethylMinus	MethylMinus	low complexity motif
CREB1		MethylMinus	MethylMinus	weak MethylMinus
CREB1		MethylMinus	MethylMinus	MethylMinus
CREB3		MethylMinus	MethylMinus	MethylMinus
CREB3		MethylMinus	MethylMinus	MethylMinus
CREB3		MethylMinus	MethylMinus	not available
CREB3L1		MethylMinus	Little effect	weak MethylMinus
CREB3L1		MethylMinus	MethylMinus	low enrichment
CREB3L1		MethylMinus	Little effect	weak MethylMinus
CREB3L1		MethylMinus	MethylMinus	low enrichment
CREB5		MethylMinus	MethylMinus	weak MethylMinus
CREM		MethylMinus	MethylMinus	weak MethylMinus
CUX1		MethylMinus	MethylMinus	low enrichment
DMRTC2		MethylMinus	MethylMinus	weak MethylMinus
E2F2		MethylMinus	Little effect	MethylMinus
				MethylMinus
				MethylMinus
				MethylMinus
E2F4		MethylMinus	MethylMinus	MethylMinus
E2F7		MethylMinus	Little effect	MethylMinus
ELF1		MethylMinus	MethylMinus	MethylMinus
ELF2		MethylMinus	MethylMinus	MethylMinus
ELF2		MethylMinus	MethylMinus	MethylMinus
ELF3		MethylMinus	MethylMinus	MethylMinus
ELF3		MethylMinus	MethylMinus	MethylMinus
ELF4		MethylMinus	MethylMinus	MethylMinus
ELF5		MethylMinus	MethylMinus	MethylMinus
ELK1		MethylMinus	MethylMinus	MethylMinus
ELK3		MethylMinus	MethylMinus	MethylMinus
ELK3		MethylMinus	MethylMinus	MethylMinus
ERG		MethylMinus	MethylMinus	MethylMinus
ERG		MethylMinus	Little effect	MethylMinus
				MethylMinus
ERG		MethylMinus	MethylMinus	MethylMinus
ERG		MethylMinus	Little effect	MethylMinus
				MethylMinus
ETS2		MethylMinus	MethylMinus	MethylMinus
				MethylMinus
ETV1		MethylMinus	MethylMinus	MethylMinus
ETV2		MethylMinus	MethylMinus	MethylMinus
ETV3		MethylMinus	MethylMinus	MethylMinus
ETV3		MethylMinus	Little effect	MethylMinus
				MethylMinus
ETV4		MethylMinus	MethylMinus	MethylMinus
ETV5		MethylMinus	MethylMinus	MethylMinus
FEV		MethylMinus	MethylMinus	MethylMinus
FLI1		MethylMinus	MethylMinus	MethylMinus
FLI1		MethylMinus	Little effect	MethylMinus
				weak MethylMinus
FLI1		MethylMinus	MethylMinus	MethylMinus
FLI1		MethylMinus	Little effect	MethylMinus
				MethylMinus
FOS		MethylMinus	MethylMinus	weak MethylMinus
FOXP3		MethylMinus	MethylMinus	MethylMinus
GABPA		MethylMinus	MethylMinus	MethylMinus
GFI1		MethylMinus	MethylMinus	weak MethylMinus
GLIS1		MethylMinus	Little effect and MethylMinus	weak MethylMinus
				MethylMinus
GLIS2		MethylMinus	Little effect and MethylMinus	weak MethylMinus
				weak MethylMinus
				weak MethylMinus
GMEB1		MethylMinus	MethylMinus	MethylMinus
				MethylMinus
GMEB2		MethylMinus	Little effect	MethylMinus
				MethylMinus
HES1		MethylMinus	MethylMinus	MethylMinus
				MethylMinus
HES2		MethylMinus	MethylMinus	MethylMinus
HES5		MethylMinus	MethylMinus	MethylMinus
HES7		MethylMinus	MethylMinus	MethylMinus
HEY1		MethylMinus	MethylMinus	weak MethylMinus
HEY2		MethylMinus	MethylMinus	weak MethylMinus
HEY2		MethylMinus	MethylMinus	MethylMinus
HSF5		MethylMinus	MethylMinus	not available
HSFY1		MethylMinus	MethylMinus	MethylMinus
				MethylMinus
HSFY1		MethylMinus	MethylMinus	MethylMinus
				MethylMinus
				MethylMinus
				MethylMinus
HSFY2		MethylMinus	MethylMinus	MethylMinus
				MethylMinus
				MethylMinus
				MethylMinus
HSFY2		MethylMinus	MethylMinus	MethylMinus
				MethylMinus
IRF7		MethylMinus	MethylMinus	weak MethylMinus
				MethylMinus
LEF1		MethylMinus	Little effect	weak MethylMinus
				weak MethylMinus
LEF1		MethylMinus	Little effect	weak MethylMinus
				weak MethylMinus
LIN28B		MethylMinus	MethylMinus	weak MethylMinus
				MethylMinus
				weak MethylMinus
MAFF		MethylMinus	MethylMinus	low enrichment
MAX		MethylMinus	MethylMinus	weak MethylMinus
MAX		MethylMinus	MethylMinus	weak MethylMinus
MBNL2		MethylMinus	Little effect	weak MethylMinus
				weak MethylMinus
MLX		MethylMinus	MethylMinus	MethylMinus
MLX		MethylMinus	MethylMinus	weak MethylMinus
MYBL2		MethylMinus	Little effect	weak MethylMinus
				weak MethylMinus
MYCN		MethylMinus	MethylMinus	MethylMinus
				MethylMinus
				weak MethylMinus
ONECUT1		MethylMinus	MethylMinus	weak MethylMinus
ONECUT1		MethylMinus	MethylMinus	weak MethylMinus
ONECUT2		MethylMinus	MethylMinus	MethylMinus
ONECUT2		MethylMinus	MethylMinus	MethylMinus
				MethylMinus
ONECUT2		MethylMinus	MethylMinus	MethylMinus
ONECUT3		MethylMinus	MethylMinus	weak MethylMinus
OVOL1		MethylMinus	Little effect	weak MethylMinus
OVOL2		MethylMinus	Little effect	MethylMinus
PAX3		MethylMinus	MethylMinus	not available
PAX7		MethylMinus	MethylMinus	low complexity motif
PROX1		MethylMinus	MethylMinus	low enrichment
RUNX2		MethylMinus	MethylMinus	weak MethylMinus
RUNX3		MethylMinus	MethylMinus	MethylMinus
				MethylMinus
RUNX3		MethylMinus	MethylMinus	MethylMinus
				MethylMinus
SOHLH2		MethylMinus	MethylMinus	MethylMinus
SPDEF		MethylMinus	MethylMinus	MethylMinus
SPDEF		MethylMinus	MethylMinus	MethylMinus
				weak MethylMinus
SPIB		MethylMinus	MethylMinus	MethylMinus
SPIB		MethylMinus	MethylMinus	weak MethylMinus
SREBF1		MethylMinus	MethylMinus	weak MethylMinus
SREBF1		MethylMinus	MethylMinus	not available
TCF4		MethylMinus	MethylMinus	weak MethylMinus
TCF7L1		MethylMinus	Little effect	weak MethylMinus
				weak MethylMinus
TCFL5		MethylMinus	Little effect	MethylMinus
				MethylMinus
TFE3		MethylMinus	MethylMinus	weak MethylMinus
TFEC		MethylMinus	MethylMinus	weak MethylMinus
USF1		MethylMinus	MethylMinus	weak MethylMinus
USF2		MethylMinus	MethylMinus	weak MethylMinus
XBP1		MethylMinus	MethylMinus	weak MethylMinus
XBP1		MethylMinus	MethylMinus	weak MethylMinus
YY1		MethylMinus	MethylMinus	not available
ZBED1		MethylMinus	MethylMinus	MethylMinus
				MethylMinus
ZBTB14		MethylMinus	MethylMinus	MethylMinus
				MethylMinus
				MethylMinus
				weak MethylMinus
ZBTB2		MethylMinus	Little effect	weak MethylMinus
ZBTB7A		MethylMinus	Little effect	MethylMinus
				weak MethylMinus
ZBTB7B		MethylMinus	MethylMinus	MethylMinus
ZNF460		MethylMinus	MethylMinus	MethylMinus
				MethylMinus
ZNF704		MethylMinus	Little effect	MethylMinus
				MethylMinus
BCL6		Little effect and MethylMinus	Little effect and MethylMinus	not available
BCL6B		Little effect and MethylMinus	Little effect and MethylMinus	Little effect
				MethylMinus
CLOCK		MethylMinus and MethylPlus	MethylMinus and MethylPlus	weak MethylMinus
				MethylPlus
CREB3L1		MethylMinus and MethylPlus	MethylMinus and MethylPlus	not available
CREB3L1		MethylMinus and MethylPlus	MethylMinus and MethylPlus	not available
GLI2		Little effect and MethylMinus	Little effect and MethylMinus	Little effect
				weak MethylMinus
HSF2		MethylMinus and MethylPlus	MethylMinus and MethylPlus	MethylMinus
				MethylPlus
IRF4		Little effect and MethylPlus	MethylMinus	Little effect
				weak MethylPlus
IRF9		MethylPlus and Little effect	MethylMinus	weak MethylPlus
				Little effect
NPAS2		MethylMinus and MethylPlus	MethylMinus and MethylPlus	weak MethylMinus
				MethylPlus
PAX3		MethylMinus and Little effect	MethylMinus and Little effect	not available
PAX7		MethylMinus and Little effect	MethylMinus and Little effect	not available
YY2		MethylPlus and MethylMinus	MethylPlus and MethylMinus	weak MethylMinus
				MethylPlus
ZFP42		MethylPlus and MethylMinus	MethylPlus and MethylMinus	weak MethylMinus
				MethylPlus
ZNF343		Little effect and MethylPlus	Little effect and MethylPlus	Little effect
				weak MethylPlus
				Little effect
ZNF345		MethylPlus and MethylMinus	MethylPlus and MethylMinus	MethylPlus
				MethylMinus
ZSCAN29		Little effect and MethylPlus	Little effect	weak MethylPlus
				Little effect
				MethylPlus
				weak MethylPlus
CEBPD		Little effect	Little effect	low enrichment
E2F2		Little effect	Little effect	Little effect
E2F3		Little effect	Little effect	Little effect
E2F8		Little effect	Little effect	Little effect
EGR1		Little effect	Little effect	Little effect
				Little effect
EGR2		Little effect	Little effect	Little effect
				Little effect
EGR3		Little effect	Little effect	Little effect
				Little effect
IRF5		Little effect	MethylMinus	Little effect
				Little effect
IRF5		Little effect	MethylMinus	Little effect
				Little effect
KLF17		Little effect	Little effect	not available
KLF2		Little effect	Little effect	low enrichment
KLF4		Little effect	Little effect	low enrichment
MTF1		Little effect	Little effect	Little effect
MYOD1		Little effect	Little effect	low enrichment
MYOG		Little effect	Little effect	low enrichment
NHLH1		Little effect	Little effect	low enrichment
				low enrichment
NHLH2		Little effect	Little effect	Little effect
				Little effect
NR2F1		MethylPlus	MethylPlus	low enrichment
OSR1		Little effect	MethylMinus	Little effect
PAX4		Little effect	Little effect	low enrichment
PAX4		Little effect	Little effect	not available
PAX4		Little effect	Little effect	not available
