methyl,region,cell,TF,size,yes,pwm,value,auc
array,promoter,A549,JUN,188.5,16.5,0.7082376017096246,0.893347446432095,0.893347446432095
array,promoter,A549,MAFK,187.0,16.0,0.7253289473684211,0.6297514619883041,0.6297514619883041
array,promoter,A549,MAX,435.5,27.5,0.5379128772194589,0.9192475845358751,0.9192475845358751
array,promoter,A549,MAZ,11521.5,104.5,0.5057414129126492,0.7422666345960446,0.7422666345960446
array,promoter,A549,MYC,1285.5,27.5,0.5932096051544262,0.9072244602830286,0.9072244602830286
array,promoter,A549,NR3C1,240.5,30.5,0.6565401789047682,0.702180557422258,0.702180557422258
array,promoter,A549,PBX3,430.0,12.0,0.2937599681020734,0.8100079744816586,0.8100079744816586
array,promoter,A549,REST,551.5,8.5,0.6564243440684335,0.8254069256254774,0.8254069256254774
array,promoter,A549,RFX5,639.0,9.0,0.7147266313932981,0.7744268077601411,0.7744268077601411
array,promoter,A549,SP1,3932.0,44.5,0.5627399786359566,0.6933634300025312,0.6933634300025312
array,promoter,A549,TCF12,516.0,7.0,0.6324726354195903,0.8807184956497334,0.8807184956497334
array,promoter,A549,USF1,809.0,217.5,0.6679364340053674,0.8806592550545529,0.8806592550545529
array,promoter,A549,USF2,1331.0,204.0,0.7333360618447797,0.8460045088718866,0.8460045088718866
array,promoter,A549,YY1,295.0,16.5,0.7936189923123721,0.8601432442895858,0.8601432442895858
array,promoter,A549,ZBTB33,893.5,51.0,0.7521984481865457,0.8025503568099566,0.8025503568099566
array,promoter,GM12878,ATF2,472.5,68.0,0.786134587307237,0.7531184207659026,0.7531184207659026
array,promoter,GM12878,ATF3,752.0,39.5,0.7750832322249976,0.9046266386014437,0.9046266386014437
array,promoter,GM12878,ATF7,295.5,54.0,0.8276911611227549,0.8595652098857652,0.8595652098857652
array,promoter,GM12878,BHLHE40,1096.5,172.0,0.6865426580380366,0.845334595389613,0.845334595389613
array,promoter,GM12878,BRCA1,548.0,52.5,0.8262551620294226,0.8258643073634364,0.8258643073634364
array,promoter,GM12878,CBFB,352.0,6.0,0.6331888246628131,0.7842003853564548,0.7842003853564548
array,promoter,GM12878,CEBPB,48.5,11.0,0.636967418546366,0.7979114452798663,0.7979114452798663
array,promoter,GM12878,CREB1,608.5,42.0,0.6881685735566951,0.851325917353247,0.851325917353247
array,promoter,GM12878,CREM,573.5,47.5,0.6815295617007008,0.8764787563500354,0.8764787563500354
array,promoter,GM12878,CTCF,3590.5,1319.5,0.8098854565025904,0.7167837610765129,0.7167837610765129
array,promoter,GM12878,E2F4,1734.0,10.0,0.734999778080532,0.8230485411561079,0.8230485411561079
array,promoter,GM12878,E2F8,195.0,6.0,0.7037037037037037,0.8818342151675485,0.8818342151675485
array,promoter,GM12878,EBF1,171.0,7.0,0.6227964743589742,0.6781529017857143,0.6781529017857143
array,promoter,GM12878,EGR1,13160.0,909.0,0.6360778486208687,0.6858522415531212,0.6858522415531212
array,promoter,GM12878,ELF1,554.5,87.5,0.5885714187563063,0.833049161003341,0.833049161003341
array,promoter,GM12878,ETS1,640.5,23.0,0.7616789441375077,0.8442967560370875,0.8442967560370875
array,promoter,GM12878,ETV6,847.5,37.0,0.645892064797079,0.8356528271545784,0.8356528271545784
array,promoter,GM12878,GABPA,670.0,71.0,0.7291942595605335,0.8500781797087017,0.8500781797087017
array,promoter,GM12878,JUNB,1155.0,8.0,0.9135789014821272,0.917720139494333,0.917720139494333
array,promoter,GM12878,KLF5,2314.0,8.5,0.4931115881796061,0.743799933848367,0.743799933848367
array,promoter,GM12878,MAX,593.0,6.0,0.4138273708120386,0.9653605905735376,0.9653605905735376
array,promoter,GM12878,MAZ,10473.0,120.5,0.5239827735659163,0.7284846925882323,0.7284846925882323
array,promoter,GM12878,MXI1,1253.5,13.0,0.560086537406127,0.922662678535113,0.922662678535113
array,promoter,GM12878,MYC,1191.0,8.0,0.520788336205246,0.8966707486119088,0.8966707486119088
array,promoter,GM12878,NFYA,336.0,20.0,0.636629746835443,0.8085443037974684,0.8085443037974684
array,promoter,GM12878,NFYB,293.0,21.0,0.698815196667685,0.7527398775917733,0.7527398775917733
array,promoter,GM12878,NRF1,2874.0,162.5,0.7165174188802875,0.6874567388258634,0.6874567388258634
array,promoter,GM12878,PAX5,878.5,86.0,0.6497464781479246,0.7789194803118088,0.7789194803118088
array,promoter,GM12878,PBX3,407.5,20.0,0.5356763721346197,0.7506706711085493,0.7506706711085493
array,promoter,GM12878,RELA,353.0,12.5,0.6121209181550323,0.8053900293448002,0.8053900293448002
array,promoter,GM12878,REST,763.0,15.0,0.6230837789661319,0.7304812834224599,0.7304812834224599
array,promoter,GM12878,RUNX3,384.5,23.0,0.5526896738151019,0.7959373727665311,0.7959373727665311
array,promoter,GM12878,SP1,3517.5,81.5,0.5424991956158173,0.6854775807575928,0.6854775807575928
array,promoter,GM12878,SPI1,370.5,38.0,0.6424206669648672,0.875548493425516,0.875548493425516
array,promoter,GM12878,SRF,225.5,36.0,0.6382612515807239,0.874847882085446,0.874847882085446
array,promoter,GM12878,TCF12,355.0,18.5,0.5345486375520357,0.8248926902850693,0.8248926902850693
array,promoter,GM12878,USF1,631.5,74.5,0.6627171987352539,0.8792283569520289,0.8792283569520289
array,promoter,GM12878,USF2,1422.0,415.5,0.7282721274592945,0.8173538950994639,0.8173538950994639
array,promoter,GM12878,YY1,276.5,25.5,0.7958641870949563,0.8360767266921114,0.8360767266921114
array,promoter,GM12878,ZBTB33,858.0,80.0,0.7276092256797135,0.787487477241247,0.787487477241247
array,promoter,GM12878,ZNF143,365.0,15.0,0.6775875129926184,0.8682125680460863,0.8682125680460863
array,promoter,HeLa,BRCA1,588.5,76.0,0.7238423891978901,0.869091471910991,0.869091471910991
array,promoter,HeLa,CEBPB,48.5,21.0,0.6067767251131222,0.7086220305429864,0.7086220305429864
array,promoter,HeLa,CTCF,5316.0,2988.0,0.8008271917839587,0.77866562284721,0.77866562284721
array,promoter,HeLa,E2F1,9416.5,536.0,0.5488100801940661,0.8231939652406278,0.8231939652406278
array,promoter,HeLa,E2F4,1785.0,28.0,0.7086521723263448,0.8764825965032486,0.8764825965032486
array,promoter,HeLa,E2F6,1540.5,9.0,0.7625826780136289,0.8849052484864485,0.8849052484864485
array,promoter,HeLa,ELK1,468.0,18.0,0.6637276057276058,0.8918179598179599,0.8918179598179599
array,promoter,HeLa,ELK4,709.5,25.5,0.6906646885523804,0.8592751654821019,0.8592751654821019
array,promoter,HeLa,GABPA,750.0,65.5,0.7032615078129015,0.8635570912356627,0.8635570912356627
array,promoter,HeLa,JUN,181.0,14.5,0.6881602286164761,0.9420695278505569,0.9420695278505569
array,promoter,HeLa,MAFF,203.0,17.0,0.66613546595753,0.7256670153689726,0.7256670153689726
array,promoter,HeLa,MAFK,176.0,8.0,0.7068452380952379,0.7455357142857142,0.7455357142857142
array,promoter,HeLa,MAX,444.5,25.5,0.464025072375035,0.9286888066664819,0.9286888066664819
array,promoter,HeLa,MAZ,10970.0,206.5,0.5082041278138985,0.8038419220729616,0.8038419220729616
array,promoter,HeLa,MXI1,1365.5,26.5,0.5529883903648025,0.9428989556600772,0.9428989556600772
array,promoter,HeLa,MYC,1308.5,39.0,0.6097016051906605,0.9231374179341363,0.9231374179341363
array,promoter,HeLa,NFYA,456.5,39.5,0.5906951163802338,0.8540766128552257,0.8540766128552257
array,promoter,HeLa,NFYB,302.0,19.0,0.6606576235830903,0.8092768419075147,0.8092768419075147
array,promoter,HeLa,NR2C2,952.5,10.0,0.7205601582519858,0.8980815579941626,0.8980815579941626
array,promoter,HeLa,NR3C1,224.0,11.0,0.8188222307656461,0.8102794864625564,0.8102794864625564
array,promoter,HeLa,NRF1,3100.5,514.5,0.744588891655538,0.7722436143370113,0.7722436143370113
array,promoter,HeLa,RELA,375.5,12.0,0.4779635047759441,0.8505086799937679,0.8505086799937679
array,promoter,HeLa,REST,797.0,12.0,0.7540339702760086,0.6547770700636942,0.6547770700636942
array,promoter,HeLa,RFX5,455.5,7.0,0.566187175887227,0.8854058967221496,0.8854058967221496
array,promoter,HeLa,SMARCC2,582.0,6.5,0.7891631608250614,0.9356624530678448,0.9356624530678448
array,promoter,HeLa,STAT3,243.0,7.0,0.6162227602905568,0.923728813559322,0.923728813559322
array,promoter,HeLa,USF2,1326.5,148.5,0.7191611213521818,0.8909123000034072,0.8909123000034072
array,promoter,HeLa,YY1,267.0,9.5,0.829990950622886,0.9161893145630049,0.9161893145630049
array,promoter,HeLa,YY2,363.0,16.0,0.5967987671112671,0.870308660933661,0.870308660933661
array,promoter,HeLa,ZHX1,703.0,7.0,0.5107758620689655,0.9636699507389164,0.9636699507389164
array,promoter,HeLa,ZNF143,382.0,17.0,0.7905383054795054,0.9147860014233674,0.9147860014233674
array,promoter,HepG2,AHR,719.0,8.0,0.7093881856540085,0.6619198312236287,0.6619198312236287
array,promoter,HepG2,ATF1,462.5,13.5,0.7175690653951523,0.934190913201408,0.934190913201408
array,promoter,HepG2,ATF2,381.0,82.5,0.8040228427809457,0.8193976702750125,0.8193976702750125
array,promoter,HepG2,ATF3,644.0,30.5,0.7165592821944613,0.9057284118023723,0.9057284118023723
array,promoter,HepG2,ATF7,241.5,73.5,0.8627443980183707,0.8579015147508298,0.8579015147508298
array,promoter,HepG2,BCL6,228.0,6.0,0.4384384384384384,0.7252252252252253,0.7252252252252253
array,promoter,HepG2,BHLHE40,930.5,85.5,0.6587510298589019,0.8698028498582336,0.8698028498582336
array,promoter,HepG2,BRCA1,471.5,75.0,0.7814388805036196,0.8517382613205691,0.8517382613205691
array,promoter,HepG2,CEBPA,33.0,23.5,0.5584207459207459,0.6342268842268841,0.6342268842268841
array,promoter,HepG2,CEBPB,61.5,44.5,0.6584053853754941,0.8405150691699603,0.8405150691699603
array,promoter,HepG2,CEBPD,81.0,15.0,0.6439393939393939,0.8777777777777778,0.8777777777777778
array,promoter,HepG2,CEBPG,81.5,19.0,0.5862381309345328,0.7443090323525106,0.7443090323525106
array,promoter,HepG2,CREB1,696.0,228.5,0.7848203249144226,0.8647725048352428,0.8647725048352428
array,promoter,HepG2,CREM,460.0,30.5,0.7286515903751897,0.9465279533804218,0.9465279533804218
